AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4132.051282,4140.384615,4023.846153,3958.974358,4120.51282,4125.25641,4130.384615,4149.74359,4121.538461,4170,4181.923077,4112.948718,4145.769231,4127.307692
4127.948718,4133.461538,4020.384615,3956.282051,4115.51282,4124.871795,4130.641025,4146.025641,4117.051282,4167.564102,4173.589743,4111.282051,4146.410256,4128.076923
4130,4128.205128,4022.307692,3954.358974,4116.025641,4135.641025,4143.205128,4152.564102,4116.282051,4169.74359,4173.974359,4113.461538,4152.564102,4124.871795
4132.307692,4130.25641,4021.410256,3956.02564,4115.769231,4139.358974,4150.769231,4156.025641,4117.307692,4165.641025,4171.794872,4112.820513,4148.461538,4123.846154
4138.589743,4139.102564,4022.179487,3964.487179,4111.153846,4131.666666,4144.358974,4151.282051,4114.358974,4154.871795,4167.948718,4114.102564,4143.846154,4125.51282
4140.384615,4145.641025,4025.384615,3972.307692,4103.974359,4121.282051,4128.974359,4141.666666,4106.410256,4142.435897,4162.564102,4110,4139.102564,4128.205128
4132.564102,4141.794872,4020.897435,3972.564102,4101.153846,4126.282051,4135.25641,4145.128205,4106.538461,4139.74359,4153.717949,4100.897436,4131.666666,4126.282051
4136.410256,4143.846154,4018.974358,3978.717948,4106.410256,4143.589743,4158.717949,4166.538461,4125,4152.051282,4160.384615,4104.487179,4139.358974,4124.102564
4141.153846,4148.589743,4021.282051,3988.205128,4113.333333,4146.025641,4157.692307,4171.794872,4131.153846,4161.923077,4172.948718,4107.564102,4148.205128,4132.564102
4129.358974,4138.461538,4013.205128,3992.179487,4115.25641,4135,4135.897436,4151.538461,4116.410256,4155.384615,4165.641025,4096.538461,4138.205128,4132.820513
4125.897436,4136.794872,4009.487179,4000.641025,4116.923077,4135.25641,4134.487179,4148.333333,4118.846154,4160.25641,4161.410256,4095.641025,4135.769231,4128.589743
4130.897436,4149.230769,4017.948717,4012.051282,4121.410256,4143.717949,4146.923077,4161.025641,4127.820513,4173.205128,4170.25641,4100.384615,4143.461538,4128.846154
4118.846154,4142.948718,4012.179487,4016.025641,4118.076923,4137.179487,4137.948718,4155.769231,4124.230769,4164.615384,4165.384615,4086.794871,4136.282051,4125.641025
4117.948718,4138.589743,4011.153846,4035.51282,4118.717948,4129.615384,4127.564102,4146.923077,4124.487179,4157.435897,4168.461538,4088.461538,4135.384615,4130
4134.358974,4153.717949,4030.641025,4070.897436,4127.692307,4135.25641,4132.435897,4143.589743,4125.51282,4168.076923,4189.74359,4114.615384,4149.102564,4130.769231
4124.615384,4144.102564,4026.025641,4079.102564,4115.51282,4125.25641,4114.615384,4125.641025,4110.769231,4157.179487,4180.769231,4108.717948,4139.358974,4125.769231
4109.615384,4120.897436,4007.307692,4077.307692,4096.025641,4108.846154,4096.666666,4112.948718,4104.358974,4132.948718,4157.435897,4085.128205,4119.102564,4129.743589
4120.384615,4125.897436,4014.102564,4097.179487,4098.076923,4118.846154,4118.461538,4128.974359,4116.282051,4134.871795,4160.25641,4095.128205,4121.794872,4128.846154
4122.948718,4132.820513,4020.76923,4110,4097.692307,4120.769231,4120.51282,4127.179487,4109.743589,4132.307692,4160.128205,4104.743589,4127.179487,4124.743589
4111.538461,4125,4012.307692,4109.615384,4087.435897,4104.871795,4098.461538,4111.794872,4100.76923,4116.410256,4146.923077,4092.435897,4123.333333,4125.25641
4098.333333,4113.717948,3993.846153,4106.410256,4081.153846,4101.923077,4103.205128,4118.461538,4109.487179,4107.948718,4130.897436,4074.230769,4110.384615,4127.051282
4081.923077,4103.589743,3974.230769,4099.487179,4075.641025,4105.641025,4108.589743,4121.410256,4107.307692,4093.717948,4111.153846,4059.487179,4094.487179,4130.641025
4078.589743,4100.51282,3973.589743,4105,4073.846154,4098.974359,4094.230769,4111.923077,4097.179487,4079.102564,4106.025641,4056.282051,4089.615384,4124.743589
4079.230769,4099.871795,3976.666666,4112.179487,4072.051282,4090.128205,4089.743589,4109.615384,4101.410256,4076.538461,4107.435897,4052.564102,4089.102564,4122.692307
4079.615384,4105.897436,3978.846153,4113.717948,4076.282051,4101.923077,4108.974359,4125.51282,4119.358974,4090.897436,4112.564102,4049.358974,4097.692307,4128.076923
4093.205128,4124.230769,3989.230769,4126.282051,4089.487179,4115.25641,4117.948718,4139.615384,4132.307692,4113.974359,4132.820513,4059.615384,4113.589743,4122.564102
4096.282051,4127.820513,3986.02564,4126.410256,4086.025641,4103.717948,4103.333333,4131.538461,4130.769231,4115.384615,4130.384615,4064.615384,4110.25641,4122.948718
4068.717948,4103.333333,3956.923076,4096.410256,4058.076923,4082.051282,4082.564102,4104.358974,4112.307692,4082.820512,4090.128205,4042.307692,4081.923077,4126.538461
4059.358974,4091.282051,3942.948717,4079.230769,4046.666666,4079.358974,4079.487179,4094.358974,4103.846154,4069.871795,4076.025641,4031.794871,4073.589743,4131.025641
4075.25641,4097.564102,3951.538461,4080.384615,4057.307692,4086.282051,4087.948718,4110.51282,4117.435897,4088.205128,4091.923077,4046.794871,4091.025641,4131.410256
4071.538461,4091.923077,3949.871794,4069.743589,4054.743589,4085.51282,4091.153846,4116.025641,4119.871795,4086.025641,4082.435897,4046.923077,4089.871795,4122.564102
4061.666666,4081.153846,3943.461538,4054.871794,4044.487179,4087.435897,4096.025641,4110.384615,4109.358974,4069.230769,4064.487179,4035.641025,4076.282051,4127.179487
4056.923077,4072.564102,3937.692307,4045.76923,4035,4077.564102,4083.461538,4102.692307,4103.076923,4064.102564,4060.76923,4025.897435,4071.025641,4129.230769
4053.076923,4069.487179,3939.358974,4040,4025.384615,4066.025641,4070.25641,4104.487179,4103.717948,4065.384615,4056.538461,4022.051282,4073.076923,4124.615384
4053.974359,4069.743589,3948.974358,4036.153846,4019.615384,4067.948718,4072.564102,4107.435897,4099.615384,4055.25641,4051.282051,4025.76923,4070.128205,4127.307692
4057.179487,4067.820512,3952.435897,4030,4017.948717,4069.358974,4071.025641,4096.794871,4083.333333,4035,4050.51282,4031.153846,4063.846153,4124.615384
4067.179487,4076.666666,3962.435897,4029.230769,4028.974358,4078.974359,4082.179487,4101.794871,4082.435897,4040,4061.025641,4046.794871,4076.794871,4123.205128
4069.871795,4083.589743,3970.897435,4025,4040.76923,4088.333333,4094.230769,4111.666666,4092.692307,4053.205128,4064.230769,4056.025641,4083.589743,4125.384615
4060.25641,4077.179487,3963.205128,4001.282051,4040.384615,4085.25641,4085.897436,4101.538461,4086.410256,4043.333333,4051.025641,4043.974359,4066.025641,4125.51282
4048.076923,4070.128205,3951.794871,3972.179487,4032.692307,4072.051282,4063.974359,4088.846154,4076.923077,4035.128205,4041.410256,4028.974358,4057.820512,4124.871795
4037.051282,4068.333333,3948.461538,3956.410256,4027.051282,4059.358974,4050.384615,4083.974359,4078.461538,4039.102564,4038.076923,4022.564102,4059.487179,4122.051282
4034.230769,4069.487179,3953.205128,3952.051281,4032.692307,4064.743589,4059.102564,4084.743589,4081.666666,4041.794871,4039.743589,4024.102564,4056.410256,4124.871795
4043.076923,4080.384615,3965.76923,3949.871794,4044.615384,4073.076923,4067.820512,4089.230769,4085.76923,4052.307692,4051.666666,4034.743589,4064.358974,4125.897436
4045.128205,4087.948718,3970.641025,3941.794871,4044.230769,4069.615384,4063.589743,4091.794871,4092.179487,4061.538461,4052.820512,4035.25641,4072.179487,4124.102564
4031.794871,4075.25641,3955.128205,3923.846153,4028.846153,4064.487179,4061.282051,4091.538461,4091.282051,4055.51282,4033.076923,4022.435897,4063.076923,4131.025641
4025.128205,4060.384615,3939.743589,3902.564102,4014.487179,4057.564102,4056.666666,4087.435897,4085.76923,4048.205128,4022.179487,4014.358974,4053.974359,4127.692307
4026.282051,4053.717948,3930.641025,3883.974358,4003.974358,4046.666666,4044.743589,4077.564102,4081.666666,4034.871794,4020.76923,4007.051282,4051.666666,4120.384615
4021.666666,4051.923077,3922.051281,3871.923076,3995.384615,4044.102564,4047.692307,4073.846154,4080,4017.435897,4009.102564,4001.410256,4047.564102,4125.769231
4012.564102,4049.230769,3919.999999,3866.666666,3985.76923,4040.51282,4047.179487,4069.230769,4072.435897,4008.205128,3998.205128,4001.282051,4039.871794,4126.794872
4013.974358,4045.76923,3927.564102,3860.897435,3979.743589,4035.384615,4039.102564,4068.076923,4067.692307,4004.743589,4001.794871,4003.974358,4039.102564,4121.666666
4019.871794,4048.846153,3934.871794,3856.538461,3982.948717,4043.461538,4046.538461,4073.589743,4070.51282,4003.974358,4005.25641,4003.589743,4043.589743,4123.205128
4013.076923,4046.794871,3932.948717,3853.717948,3982.692307,4045.641025,4047.692307,4064.871794,4062.820512,3998.846153,3995.641025,3995.76923,4034.102564,4129.615384
3999.871794,4033.717948,3925.897435,3844.358974,3974.999999,4032.179487,4031.025641,4048.846153,4047.179487,3983.333333,3980.128205,3986.02564,4016.794871,4129.358974
3993.589743,4025.76923,3919.743589,3835.384614,3969.230769,4022.051282,4019.615384,4043.333333,4040.76923,3972.820512,3972.948717,3976.923076,4013.589743,4125.769231
3993.974358,4028.461538,3916.794871,3837.051281,3969.999999,4020.76923,4017.051282,4043.846153,4044.615384,3982.435897,3982.435897,3974.871794,4018.589743,4126.410256
3990.76923,4024.743589,3913.589743,3836.923076,3970.25641,4015.76923,4009.487179,4038.461538,4044.102564,3991.538461,3988.589743,3973.717948,4016.794871,4125.25641
3988.461538,4019.615384,3912.692307,3829.999999,3969.615384,4009.102564,4005.128205,4032.948717,4040.51282,3988.717948,3982.435897,3971.282051,4013.589743,4125.51282
3990.641025,4026.025641,3915.51282,3830.641025,3973.589743,4013.717948,4010.51282,4033.461538,4039.871794,3992.307692,3989.743589,3980.128205,4017.820512,4128.205128
3985.641025,4025.641025,3909.487179,3827.692307,3972.435897,4018.717948,4011.923076,4034.487179,4037.820512,3994.999999,3994.999999,3984.615384,4018.461538,4128.974359
3973.205128,4012.564102,3893.717948,3808.846153,3958.461538,4003.461538,3997.051282,4027.820512,4032.692307,3982.948717,3972.948717,3967.564102,4005.384615,4130.128205
3974.487179,4012.179487,3893.717948,3803.205127,3949.615384,3992.435897,3987.435897,4019.615384,4029.230769,3976.666666,3964.358974,3962.051281,4002.564102,4125
3990.76923,4031.282051,3915.641025,3819.871794,3961.923076,4010.51282,4003.589743,4026.025641,4029.615384,3986.923076,3988.974358,3986.538461,4018.589743,4123.205128
3981.666666,4026.538461,3915.128204,3814.743589,3958.717948,4005,3999.358974,4024.358974,4021.666666,3980.641025,3987.051282,3988.205128,4014.230769,4128.974359
3960.25641,4001.410256,3896.153845,3791.666666,3937.820512,3981.153846,3980.128205,4018.974358,4018.717948,3964.102563,3961.410256,3966.923076,3995.384615,4125
3960.897435,3998.846153,3897.051281,3788.974358,3932.692307,3985.25641,3983.205128,4015.897435,4017.307692,3957.435897,3958.333333,3962.948717,3992.307692,4122.948718
3963.333333,4003.589743,3899.615384,3790.76923,3933.717948,3992.435897,3988.589743,4002.820512,4000.128205,3946.282051,3962.435897,3964.871794,3989.102564,4127.692307
3956.923076,3995.51282,3889.743589,3780.76923,3929.487179,3985.128205,3982.820512,4006.538461,3997.820512,3942.948717,3956.923076,3962.179487,3983.717948,4124.487179
3957.820512,3993.076923,3891.538461,3773.974358,3930.76923,3983.717948,3979.487179,4021.666666,4012.435897,3953.974358,3955.384615,3963.333333,3988.717948,4121.153846
3957.564102,3992.179487,3893.717948,3769.615384,3934.871794,3990.897435,3981.923076,4011.153846,4003.461538,3949.230769,3952.820512,3959.102563,3985.128205,4126.153846
3949.999999,3985.76923,3880.384615,3765.641025,3937.435897,3996.538461,3985.76923,3997.820512,3988.974358,3934.871794,3947.435897,3945.76923,3974.999999,4128.205128
3948.974358,3985.51282,3875.25641,3766.666666,3942.564102,3990.641025,3978.461538,4006.410256,3999.871794,3941.923076,3952.435897,3941.02564,3980.25641,4122.948718
3939.871794,3976.538461,3873.846153,3758.974358,3932.179486,3969.615384,3954.230769,3992.564102,3994.615384,3948.846153,3954.743589,3939.615384,3981.666666,4124.358974
3930.897435,3965.25641,3870.51282,3752.179486,3922.692307,3965.51282,3949.999999,3971.153846,3975.384615,3941.923076,3955.384615,3938.717948,3973.846153,4128.717948
3949.487179,3979.999999,3890.897435,3772.564102,3941.02564,3986.666666,3977.179487,3992.307692,3992.179487,3958.205128,3974.102564,3952.692307,3984.871794,4125.51282
3966.02564,3992.692307,3911.923076,3790.51282,3948.333333,3990.25641,3983.461538,4012.820512,4013.461538,3979.615384,3986.153846,3962.307692,3997.948717,4125.51282
3966.794871,3992.179487,3910.76923,3788.076922,3945.128205,3988.461538,3982.051282,4013.333333,4008.717948,3979.615384,3982.948717,3966.02564,3999.487179,4124.615384
3978.589743,4003.589743,3914.487179,3796.28205,3961.538461,4005.76923,4002.564102,4020.76923,4011.794871,3986.02564,3993.589743,3982.051282,4009.615384,4119.230769
3978.589743,4003.589743,3914.487179,3796.28205,3961.538461,4005.76923,4002.564102,4020.76923,4011.794871,3986.02564,3993.589743,3982.051282,4009.615384,4119.230769
3985.25641,4007.948717,3918.846153,3803.076922,3961.153846,4004.230769,4004.615384,4021.282051,4016.410256,3992.948717,4002.179487,3990.25641,4018.205128,4122.820513
3962.820512,3981.02564,3896.153845,3783.717948,3927.307692,3972.179487,3970.384615,3999.102564,3993.076923,3965.384615,3978.333333,3970.128205,3999.743589,4125.51282
3950.76923,3963.846153,3880.897435,3774.743589,3920.128204,3964.230769,3959.615384,3988.076923,3975.384615,3937.179486,3959.871794,3959.230769,3980.76923,4122.948718
3975.384615,3983.846153,3907.051281,3799.871794,3948.846153,3995.25641,3993.076923,4009.230769,3991.282051,3957.307692,3983.076923,3981.923076,3995.25641,4124.743589
3986.923076,3997.564102,3929.230769,3822.179486,3959.102563,4007.948717,4007.564102,4023.461538,4005.641025,3982.179487,4006.025641,3994.743589,4007.435897,4125.769231
3968.974358,3986.923076,3921.282051,3825.897435,3952.948717,3990.25641,3986.153846,4012.179487,4000.384615,3973.333333,3997.948717,3979.871794,3993.461538,4123.589743
3963.461538,3982.692307,3915.897435,3827.820512,3957.179487,3985.384615,3977.179487,4004.102564,3998.461538,3969.102563,3986.538461,3968.717948,3987.435897,4123.461538
3966.923076,3983.974358,3913.333333,3829.230768,3956.923076,3993.589743,3983.846153,3997.692307,3992.948717,3976.282051,3981.538461,3967.948717,3992.051282,4124.615384
3969.102563,3987.692307,3911.02564,3841.666666,3957.179487,3997.179487,3989.230769,3995.384615,3991.538461,3986.666666,3987.564102,3975.128205,3998.589743,4122.179487
3985.384615,4004.102564,3925.25641,3866.28205,3976.794871,4005.128205,4000.128205,4020.51282,4017.948717,4009.615384,4009.743589,3992.820512,4013.205128,4121.282051
3997.820512,4010.384615,3932.307692,3877.564102,3987.179487,4012.564102,4008.333333,4037.564102,4030.76923,4023.717948,4016.923076,3998.461538,4020.897435,4123.076923
3989.230769,3998.461538,3920.76923,3879.230768,3972.179487,4006.282051,4003.333333,4019.230769,4007.692307,4010.641025,4003.717948,3993.333333,4013.461538,4122.692307
3988.076923,3996.02564,3925.51282,3893.333333,3964.999999,3999.615384,3997.820512,4012.051282,4000.25641,4001.794871,4004.358974,3998.333333,4012.307692,4128.076923
3997.820512,4000.51282,3939.487179,3906.794871,3973.974358,4002.564102,3998.974358,4026.923076,4017.435897,4011.538461,4020.641025,4001.794871,4019.358974,4130.384615
3996.410256,3999.615384,3936.923076,3909.487179,3975.51282,4007.307692,4002.948717,4031.666666,4018.589743,4012.179487,4025,3995.76923,4018.205128,4125
3983.846153,3994.743589,3929.487179,3907.179486,3961.410256,4000.384615,3997.948717,4018.589743,4003.076923,3990.76923,4006.794871,3987.692307,4005.384615,4127.307692
3982.179487,3993.461538,3936.153845,3914.615384,3961.923076,4001.666666,3996.282051,4011.923076,4001.410256,3979.615384,3996.794871,3985.641025,4000.76923,4128.717948
