T7,P7,O1,O2,P8
3985.76923,4022.179487,4015.641025,4031.025641,4019.230769
3988.846153,4020.641025,4016.923076,4036.410256,4020.128205
3970.128205,4005.128205,3995.25641,4015.641025,4003.589743
3984.358974,4023.717948,4007.564102,4026.410256,4015.25641
4011.538461,4039.743589,4026.025641,4040.76923,4031.794871
3994.871794,4005.641025,3992.820512,4005.384615,4010
3972.307692,3982.307692,3967.692307,3984.871794,3995.76923
3980.897435,4000.897435,3988.205128,4011.538461,4018.589743
3990.25641,4013.846153,4004.358974,4024.871794,4029.615384
3991.153846,4014.871794,4005.51282,4022.051282,4025.76923
3993.717948,4018.076923,4012.435897,4035.51282,4035.128205
3995.641025,4029.743589,4025.51282,4045.128205,4039.871794
4001.02564,4040.384615,4032.179487,4038.589743,4029.743589
4009.358974,4034.230769,4024.871794,4031.153846,4021.282051
4003.333333,4019.487179,4011.153846,4025.128205,4016.282051
3991.153846,4013.589743,4005.128205,4020.641025,4013.589743
3994.102564,4016.153846,4007.179487,4026.025641,4019.615384
4001.794871,4013.717948,4000.897435,4024.615384,4021.025641
3999.615384,4014.102564,3998.461538,4016.923076,4021.282051
4000.384615,4026.410256,4016.666666,4031.282051,4037.948718
4004.743589,4027.307692,4021.538461,4040,4040.384615
3996.538461,4014.871794,4001.794871,4019.743589,4024.358974
3990.76923,4018.461538,4002.435897,4011.025641,4025
4005,4029.358974,4023.846153,4032.179487,4043.846153
4010.76923,4022.051282,4023.076923,4045.384615,4048.717948
4000.25641,4017.948717,4018.717948,4041.410256,4042.692307
4006.282051,4031.153846,4037.051282,4047.820512,4046.282051
4016.410256,4037.820512,4050,4058.717948,4050.641025
4006.282051,4035.128205,4043.974359,4058.846153,4050.51282
4004.871794,4036.410256,4042.435897,4061.410256,4060.128205
4026.538461,4047.692307,4054.487179,4070.897436,4075.25641
4036.153846,4053.846153,4056.282051,4064.230769,4071.923077
4033.076923,4047.692307,4044.871794,4056.282051,4068.461538
4033.461538,4037.820512,4033.717948,4053.717948,4068.076923
4025.128205,4030.641025,4023.846153,4039.615384,4053.076923
4025.76923,4039.743589,4031.666666,4039.743589,4054.487179
4044.487179,4055.897435,4051.025641,4059.358974,4076.282051
4045.128205,4049.487179,4049.102564,4068.589743,4083.461538
4026.666666,4036.025641,4038.846153,4067.564102,4079.743589
4027.179487,4048.974359,4056.538461,4073.076923,4082.435897
4040,4062.948718,4073.076923,4074.743589,4084.743589
4040,4055.51282,4064.487179,4076.538461,4090.76923
4035.641025,4049.230769,4053.333333,4072.692307,4088.333333
4044.615384,4054.743589,4052.692307,4054.871794,4071.794871
4052.820512,4056.153846,4052.307692,4043.333333,4064.358974
4046.153846,4048.205128,4043.461538,4042.435897,4066.666666
4047.948718,4051.025641,4043.333333,4050.641025,4075.25641
4064.102564,4063.846153,4060.384615,4066.538461,4091.666666
4071.538461,4070.76923,4078.846154,4078.461538,4105.769231
4068.076923,4070.641025,4080.897436,4076.153846,4106.794872
4066.794871,4070.51282,4079.871795,4088.589743,4116.282051
4064.230769,4069.230769,4081.794871,4106.025641,4128.589743
4058.076923,4066.282051,4073.461538,4087.820512,4113.846154
4056.025641,4063.974359,4067.820512,4068.846153,4096.025641
4059.487179,4067.564102,4079.102564,4081.410256,4103.076923
4062.564102,4075.128205,4084.487179,4087.564102,4105.641025
4061.410256,4071.153846,4071.923077,4067.564102,4087.051282
4065,4061.410256,4067.051282,4060.25641,4081.794871
4075.641025,4063.076923,4071.025641,4070,4097.051282
4077.692307,4068.974359,4071.923077,4075,4106.794872
4075,4068.717948,4074.102564,4076.025641,4106.410256
4083.461538,4074.230769,4083.974359,4084.230769,4115.128205
4098.589743,4096.410256,4109.871795,4114.358974,4148.076923
4093.076923,4098.461538,4113.461538,4123.205128,4157.179487
4067.435897,4064.743589,4074.358974,4082.307692,4118.461538
4056.538461,4048.205128,4053.205128,4060.76923,4098.589743
4063.974359,4064.871794,4070.641025,4079.615384,4113.076923
4066.923077,4075.51282,4079.615384,4083.333333,4111.153846
4071.025641,4071.666666,4076.666666,4079.102564,4106.153846
4077.051282,4068.333333,4075.25641,4084.615384,4114.871795
4079.615384,4078.589743,4084.230769,4083.205128,4114.487179
4087.948718,4089.615384,4098.205128,4081.923077,4113.846154
4098.076923,4084.743589,4095.76923,4092.948718,4128.205128
4099.230769,4080.51282,4086.538461,4097.564102,4138.974359
4102.179487,4085.76923,4087.307692,4090.25641,4135.897436
4105.384615,4084.358974,4085.128205,4085.128205,4129.230769
4102.692307,4080.897436,4083.333333,4089.230769,4130.769231
4099.871795,4082.307692,4087.307692,4092.564102,4135.384615
4094.743589,4073.846154,4080.51282,4086.666666,4131.538461
4090,4070.51282,4076.410256,4083.333333,4126.923077
4094.358974,4086.282051,4091.153846,4086.538461,4127.820513
4098.846154,4092.948718,4100.128205,4088.076923,4129.615384
4102.692307,4090.76923,4098.974359,4095.384615,4138.717949
4106.794872,4092.435897,4096.666666,4100.897436,4141.794872
4101.410256,4089.230769,4091.153846,4090.76923,4126.410256
4093.846154,4082.564102,4086.923077,4081.923077,4120.384615
4102.307692,4090.128205,4094.615384,4092.435897,4138.333333
4116.025641,4100.384615,4106.282051,4106.794872,4150.51282
4121.666666,4098.461538,4109.615384,4108.333333,4146.794872
4129.487179,4108.461538,4119.230769,4113.461538,4153.589743
4133.076923,4118.974359,4128.076923,4120.897436,4161.538461
4128.461538,4113.461538,4122.948718,4120.384615,4159.358974
4127.564102,4109.871795,4117.820513,4116.923077,4155.769231
4136.923077,4113.974359,4119.871795,4105.25641,4137.948718
4117.820513,4096.666666,4099.358974,4090.128205,4124.871795
4113.333333,4090.51282,4092.307692,4092.307692,4133.333333
4125,4095,4099.487179,4096.794871,4148.846154
4131.794872,4102.948718,4110.384615,4102.564102,4156.282051
4131.025641,4105,4114.230769,4111.282051,4159.102564
4123.846154,4097.435897,4105.51282,4106.666666,4156.538461
4114.743589,4094.487179,4101.025641,4096.025641,4151.282051
4117.564102,4100.897436,4106.410256,4097.820512,4152.435897
4126.153846,4107.051282,4111.538461,4101.794871,4149.615384
4125.641025,4107.051282,4110.128205,4099.358974,4141.410256
4125.897436,4106.923077,4113.333333,4102.692307,4143.717949
4134.358974,4113.974359,4127.051282,4113.974359,4153.461538
4138.589743,4113.717948,4127.948718,4113.717948,4150.25641
4138.333333,4113.461538,4121.666666,4111.794872,4146.538461
4132.564102,4113.717948,4119.230769,4117.307692,4151.923077
4127.692307,4106.923077,4114.743589,4113.846154,4153.076923
4132.820513,4101.282051,4105.51282,4106.794872,4156.666666
4132.948718,4101.923077,4099.615384,4105.897436,4160.769231
4121.153846,4104.743589,4101.282051,4100,4151.410256
4118.333333,4103.333333,4100,4091.923077,4144.230769
4139.230769,4111.794872,4109.871795,4107.564102,4161.025641
4153.333333,4120.51282,4123.076923,4124.487179,4174.102564
4133.589743,4104.102564,4109.230769,4107.307692,4151.410256
4113.333333,4089.102564,4093.974359,4091.538461,4125.51282
4126.282051,4102.179487,4111.666666,4106.282051,4129.743589
4126.282051,4102.179487,4111.666666,4106.282051,4129.743589
4148.076923,4118.717948,4130.384615,4120.769231,4145
4151.025641,4118.974359,4124.871795,4118.076923,4140.641025
4154.871795,4121.538461,4126.794872,4120.128205,4136.025641
4157.692307,4121.666666,4128.333333,4119.487179,4140.897436
4147.564102,4112.564102,4115.641025,4110.641025,4138.333333
4142.307692,4107.051282,4110.641025,4107.948718,4133.461538
4141.282051,4103.589743,4106.794872,4101.025641,4128.717948
4141.538461,4104.358974,4102.051282,4096.153846,4126.794872
4151.282051,4115.769231,4112.820513,4108.076923,4137.820513
4160.897436,4127.948718,4132.692307,4124.615384,4153.333333
4158.461538,4127.435897,4137.051282,4127.692307,4159.487179
4163.076923,4133.717948,4142.179487,4133.589743,4164.871795
4173.974359,4147.435897,4155.897436,4146.538461,4174.230769
4162.051282,4135.641025,4143.974359,4138.076923,4170.897436
4152.564102,4119.102564,4126.410256,4126.025641,4163.974359
4165.25641,4126.410256,4136.025641,4132.435897,4162.179487
4171.410256,4136.538461,4150.897436,4144.615384,4162.820513
4163.846154,4135.128205,4148.974359,4142.820513,4162.307692
4166.153846,4134.871795,4146.410256,4135.384615,4158.717949
4177.307692,4138.846154,4150,4138.846154,4162.564102
4181.666667,4144.74359,4147.820513,4145.897436,4172.179487
4185.25641,4150.897436,4150.25641,4150.25641,4177.179487
4186.410256,4147.051282,4151.282051,4147.051282,4171.410256
4178.461538,4136.025641,4141.666666,4135.51282,4162.692307
4178.461538,4136.025641,4141.666666,4135.51282,4162.692307
4172.051282,4135.641025,4136.666666,4128.461538,4162.564102
4173.461538,4137.435897,4133.846154,4128.333333,4163.076923
4172.820513,4135.25641,4131.410256,4131.153846,4161.538461
4169.487179,4136.666666,4137.820513,4136.666666,4161.538461
4171.025641,4140.25641,4145.897436,4143.333333,4163.205128
4174.230769,4140.897436,4147.564102,4145.51282,4164.230769
4173.333333,4145.128205,4148.076923,4142.948718,4162.179487
4175.897436,4151.923077,4151.666666,4141.153846,4162.179487
4179.358974,4149.230769,4150.25641,4140.51282,4162.692307
4170.51282,4136.410256,4132.564102,4125.769231,4151.794872
4157.948718,4127.051282,4109.871795,4101.794871,4137.051282
4156.025641,4122.051282,4102.435897,4097.307692,4138.461538
4158.461538,4118.333333,4108.461538,4108.076923,4146.923077
4167.435897,4133.974359,4128.974359,4121.282051,4157.307692
4179.615384,4154.102564,4149.615384,4138.205128,4175.641026
4175.384615,4143.846154,4142.692307,4140.128205,4180.641026
4164.615384,4128.846154,4128.205128,4129.743589,4172.564102
4169.871795,4133.076923,4132.948718,4137.948718,4177.692308
4169.102564,4131.666666,4133.846154,4147.179487,4176.538461
4157.435897,4126.794872,4129.102564,4141.153846,4162.820513
4167.435897,4141.153846,4142.564102,4146.025641,4166.666666
4185.25641,4154.487179,4156.794872,4158.974359,4181.410256
4181.923077,4148.589743,4153.076923,4152.564102,4178.589743
4175.897436,4141.282051,4146.794872,4135,4164.358974
4186.794872,4147.435897,4148.846154,4132.564102,4163.589743
4190.641026,4152.051282,4150.51282,4139.871795,4169.230769
4174.615384,4137.179487,4138.461538,4127.692307,4159.230769
4166.923077,4128.076923,4128.333333,4114.743589,4149.74359
4170,4133.076923,4130.641025,4123.589743,4157.435897
4174.102564,4134.615384,4133.205128,4133.589743,4166.538461
4174.74359,4135,4134.615384,4133.589743,4166.282051
4164.74359,4132.948718,4133.717948,4131.025641,4160.769231
4163.205128,4138.205128,4140.384615,4139.871795,4162.948718
4176.538461,4153.589743,4156.923077,4152.179487,4169.74359
4167.948718,4142.820513,4145.25641,4133.076923,4152.692307
4144.871795,4114.871795,4118.205128,4104.743589,4133.461538
4153.974359,4125.128205,4130.897436,4118.333333,4148.974359
4172.307692,4147.435897,4150.51282,4136.923077,4163.846154
4157.564102,4127.564102,4126.282051,4120.769231,4149.487179
4144.74359,4110.641025,4108.333333,4115.384615,4145.641025
4161.153846,4132.307692,4128.717948,4132.564102,4163.333333
4171.410256,4145.51282,4142.692307,4143.333333,4175.769231
4162.051282,4133.333333,4133.717948,4141.666666,4178.076923
4157.948718,4131.282051,4130.51282,4136.410256,4174.871795
4169.871795,4145.25641,4145.128205,4144.230769,4178.205128
4173.076923,4142.307692,4148.589743,4145.384615,4180
4157.948718,4126.538461,4130.128205,4125.769231,4163.205128
4155.769231,4127.435897,4127.307692,4122.307692,4153.589743
4171.538461,4139.102564,4142.179487,4140.769231,4169.487179
4177.820513,4140,4140.51282,4139.230769,4173.717949
4167.948718,4133.717948,4128.076923,4120.641025,4156.153846
4163.974359,4136.410256,4132.051282,4128.717948,4163.846154
4171.410256,4144.615384,4145.384615,4149.487179,4185.641026
4166.153846,4137.435897,4138.205128,4137.564102,4177.051282
4152.179487,4128.461538,4126.666666,4121.666666,4165.769231
4160.769231,4144.358974,4142.820513,4140.25641,4184.102564
4160.769231,4144.358974,4142.820513,4140.25641,4184.102564
4176.410256,4152.948718,4153.717949,4153.846154,4197.692308
4155.51282,4130.128205,4132.179487,4132.307692,4179.358974
4137.948718,4122.820513,4119.871795,4120.384615,4163.205128
4163.717949,4143.717949,4139.871795,4143.974359,4183.205128
4190.51282,4157.435897,4161.538461,4164.871795,4212.564103
4189.358974,4156.666666,4163.076923,4154.487179,4203.333333
4173.333333,4148.076923,4146.923077,4135.128205,4175.25641
4160,4132.948718,4124.102564,4123.589743,4167.179487
4150.25641,4125.641025,4110.128205,4107.820513,4165.51282
4148.589743,4131.666666,4110.769231,4100.897436,4164.487179
4151.025641,4130.384615,4111.153846,4108.461538,4170.769231
4154.102564,4127.820513,4114.230769,4119.615384,4182.179487
4155.769231,4133.846154,4121.538461,4124.743589,4188.974359
4147.692307,4128.717948,4112.435897,4110.769231,4178.333333
4146.153846,4117.051282,4101.923077,4105.25641,4174.102564
4162.564102,4129.743589,4125.769231,4131.666666,4196.410256
4175.25641,4149.102564,4148.589743,4143.846154,4203.974359
4162.948718,4135.897436,4129.230769,4121.025641,4182.564102
4152.692307,4123.461538,4116.025641,4114.743589,4178.717949
4156.410256,4126.025641,4122.051282,4123.846154,4185
4152.435897,4121.923077,4116.410256,4117.820513,4177.051282
4147.820513,4119.358974,4109.358974,4108.589743,4171.666667
4153.589743,4126.282051,4116.666666,4113.974359,4178.205128
4159.74359,4131.666666,4125.25641,4129.871795,4190.897436
4162.435897,4133.461538,4131.025641,4136.923077,4200.51282
4159.487179,4133.589743,4133.333333,4133.333333,4197.820513
4140.384615,4116.025641,4113.333333,4118.717948,4182.051282
4131.923077,4104.358974,4100.51282,4114.230769,4180
4149.871795,4119.358974,4115.51282,4124.615384,4193.076923
4154.487179,4125.641025,4123.205128,4124.871795,4189.871795
4141.794872,4111.410256,4112.692307,4113.717948,4172.179487
4137.435897,4108.333333,4109.358974,4107.435897,4163.333333
4136.153846,4113.846154,4112.564102,4110.384615,4162.307692
4136.153846,4110.641025,4113.461538,4118.205128,4164.230769
4138.846154,4109.487179,4113.589743,4116.666666,4163.205128
4120,4096.025641,4089.230769,4090.128205,4145.384615
4104.102564,4084.871795,4074.230769,4082.564102,4137.948718
4113.205128,4089.230769,4083.333333,4097.692307,4143.589743
4109.871795,4081.666666,4074.358974,4087.692307,4136.794872
4097.051282,4072.307692,4064.615384,4079.358974,4135.641025
4100.897436,4077.435897,4073.974359,4091.794871,4145.641025
4098.589743,4073.589743,4070.897436,4088.974359,4137.564102
4087.435897,4062.948718,4058.974359,4073.846154,4120
4090.51282,4072.692307,4067.051282,4074.358974,4118.205128
4090.897436,4080.51282,4074.743589,4076.923077,4119.871795
4078.717948,4066.153846,4063.717948,4072.051282,4117.179487
4079.871795,4057.051282,4054.871794,4068.846153,4115.384615
4091.923077,4066.923077,4058.717948,4066.153846,4110.897436
4092.435897,4076.538461,4065.51282,4065.641025,4106.666666
4090.641025,4074.615384,4068.076923,4072.564102,4111.153846
4102.179487,4080.25641,4073.974359,4082.051282,4116.923077
4103.589743,4080.76923,4071.153846,4081.923077,4113.589743
4101.410256,4076.282051,4070.641025,4083.333333,4116.794872
4112.307692,4091.794871,4087.692307,4091.410256,4127.435897
4102.051282,4084.871795,4076.153846,4078.717948,4116.153846
4079.358974,4053.717948,4044.230769,4053.589743,4097.307692
4080.76923,4053.846153,4043.589743,4051.410256,4096.410256
4090,4065.384615,4054.102564,4061.794871,4103.076923
4083.846154,4055.128205,4051.538461,4064.743589,4103.717948
4074.743589,4052.307692,4053.205128,4065.128205,4098.717948
4075.897436,4060.641025,4058.333333,4065.641025,4098.076923
4091.410256,4069.871795,4072.435897,4081.666666,4113.589743
4103.846154,4082.307692,4089.871795,4100.384615,4125.769231
4086.794871,4070.641025,4067.820512,4077.179487,4106.538461
4075.25641,4054.743589,4045.76923,4051.025641,4089.102564
4084.743589,4064.102564,4062.564102,4063.717948,4094.871795
4077.179487,4060.51282,4058.974359,4066.282051,4088.589743
4065.76923,4051.923077,4044.230769,4053.205128,4082.051282
4080.641025,4067.307692,4063.333333,4066.282051,4097.564102
4092.692307,4072.948718,4070,4071.538461,4097.948718
4087.948718,4064.743589,4057.179487,4057.820512,4084.871795
4086.538461,4070.641025,4067.692307,4067.564102,4092.051282
4079.487179,4067.179487,4067.692307,4073.461538,4090.76923
4068.846153,4051.794871,4047.307692,4056.282051,4075.384615
4064.358974,4049.615384,4045.76923,4053.461538,4073.589743
4064.871794,4054.487179,4057.307692,4067.820512,4080.128205
4068.974359,4053.846153,4055.641025,4067.692307,4080
4073.974359,4055.641025,4049.358974,4063.589743,4081.153846
4081.923077,4066.794871,4062.179487,4077.179487,4089.615384
4081.923077,4066.794871,4062.179487,4077.179487,4089.615384
4084.487179,4072.692307,4073.974359,4077.564102,4090.76923
4076.538461,4064.871794,4061.282051,4063.974359,4082.179487
4065.51282,4051.666666,4045.128205,4057.051282,4071.410256
4060.25641,4045.128205,4043.717948,4051.025641,4062.051282
4063.461538,4047.307692,4045.25641,4049.743589,4063.333333
4065,4046.410256,4042.179487,4055.51282,4069.230769
4067.179487,4046.923077,4045.51282,4057.564102,4072.051282
4067.820512,4051.923077,4052.435897,4059.102564,4077.307692
4056.282051,4050.51282,4051.153846,4061.538461,4079.743589
4042.051282,4040.51282,4037.564102,4048.205128,4063.974359
4051.282051,4043.974359,4035.25641,4044.230769,4060.25641
4066.923077,4063.205128,4053.846153,4065.897435,4079.871795
4053.589743,4059.871794,4048.846153,4061.794871,4076.025641
4037.435897,4039.743589,4023.076923,4038.974359,4054.615384
4050.897435,4044.102564,4028.205128,4045.641025,4056.410256
4068.461538,4060,4048.205128,4058.974359,4069.230769
4065.76923,4055.384615,4043.974359,4051.025641,4067.948718
4055.76923,4042.692307,4029.102564,4042.307692,4060.76923
4059.871794,4045.76923,4034.871794,4050.128205,4068.589743
4070.897436,4062.692307,4059.615384,4067.820512,4082.564102
4068.589743,4071.025641,4066.410256,4075.384615,4085.641025
4059.358974,4056.923077,4045.384615,4065.76923,4081.666666
